sector,ticker,period_end,yf_revenue,sec_revenue,revenue_status,yf_net_income,sec_net_income,net_income_status,yf_capex,sec_capex,capex_status,yf_fcf,sec_fcf(ocf-capex),fcf_status,verified,sec_accession
tech,BOX,2026-01-31,1177253000.0,1177253000,match,115383000.0,115383000,match,41248000.0,6074000,sec_replaced,315202000.0,350376000,sec_replaced,1,0001193125-26-098466
tech,BOX,2025-01-31,1090130000.0,1090130000,match,244621000.0,244621000,match,30206000.0,2573000,sec_replaced,302051000.0,329684000,sec_replaced,1,0001193125-26-098466
tech,BOX,2024-01-31,1037741000.0,1037741000,match,129032000.0,129032000,match,21264000.0,4703000,sec_replaced,297463000.0,314024000,sec_replaced,1,0001193125-26-098466
tech,BOX,2023-01-31,990874000.0,990874000,match,26783000.0,26783000,match,17098000.0,5034000,sec_replaced,280884000.0,292948000,sec_replaced,1,0000950170-25-036261
tech,TWLO,2025-12-31,5067220000.0,5067220000,match,33834000.0,33834000,match,57817000.0,,,945427000.0,,,1,0001447669-26-000021
tech,TWLO,2024-12-31,4458036000.0,4458036000,match,-109403000.0,-109403000,match,58786000.0,,,657455000.0,,,1,0001447669-26-000021
tech,TWLO,2023-12-31,4153945000.0,4153945000,match,-1015441000.0,-1015441000,match,51235000.0,,,363517000.0,,,1,0001447669-26-000021
tech,TWLO,2022-12-31,3826321000.0,3826321000,match,-1256145000.0,-1256145000,match,80182000.0,,,-334550000.0,,,1,0001447669-25-000035
logistics,XPO,2025-12-31,8157000000.0,8157000000,match,316000000.0,316000000,match,657000000.0,657000000,match,329000000.0,,,1,0001166003-26-000016
logistics,XPO,2024-12-31,8072000000.0,8072000000,match,387000000.0,387000000,match,789000000.0,789000000,match,19000000.0,,,1,0001166003-26-000016
logistics,XPO,2023-12-31,7744000000.0,7744000000,match,189000000.0,189000000,match,1533000000.0,1533000000,match,-851000000.0,,,1,0001166003-24-000022
logistics,XPO,2022-12-31,7718000000.0,7718000000,match,666000000.0,666000000,match,521000000.0,521000000,match,311000000.0,,,1,0001166003-24-000022
logistics,GXO,2025-12-31,13178000000.0,13178000000,match,32000000.0,32000000,match,324000000.0,324000000,match,110000000.0,110000000,match,1,0001852244-26-000007
logistics,GXO,2024-12-31,11709000000.0,11709000000,match,134000000.0,134000000,match,359000000.0,359000000,match,190000000.0,190000000,match,1,0001852244-26-000007
logistics,GXO,2023-12-31,9778000000.0,9778000000,match,229000000.0,229000000,match,274000000.0,274000000,match,284000000.0,284000000,match,1,0001852244-26-000007
logistics,GXO,2022-12-31,8993000000.0,8993000000,match,197000000.0,197000000,match,342000000.0,342000000,match,200000000.0,200000000,match,1,0001852244-25-000007
logistics,RXO,2025-12-31,5742000000.0,5742000000,match,-100000000.0,-100000000,match,59000000.0,59000000,match,-8000000.0,-8000000,match,1,0001929561-26-000013
logistics,RXO,2024-12-31,4550000000.0,4550000000,match,-290000000.0,-290000000,match,45000000.0,45000000,match,-57000000.0,-57000000,match,1,0001929561-26-000013
logistics,RXO,2023-12-31,3927000000.0,3927000000,match,4000000.0,4000000,match,64000000.0,64000000,match,25000000.0,25000000,match,1,0001929561-26-000013
logistics,RXO,2022-12-31,4796000000.0,4796000000,match,92000000.0,92000000,match,57000000.0,57000000,match,253000000.0,253000000,match,1,0001929561-25-000044
logistics,SAIA,2025-12-31,3234286000.0,3234286000,match,255036000.0,255036000,match,567639000.0,567639000,match,27334000.0,27334000,match,1,0001193125-26-067030
logistics,SAIA,2024-12-31,3209074000.0,3209074000,match,362065000.0,362065000,match,1043557000.0,1043557000,match,-459855000.0,-459855000,match,1,0001193125-26-067030
logistics,SAIA,2023-12-31,2881433000.0,2881433000,match,354857000.0,354857000,match,439879000.0,439879000,match,138066000.0,138066000,match,1,0001193125-26-067030
logistics,SAIA,2022-12-31,2792057000.0,2792057000,match,357422000.0,357422000,match,367429000.0,367429000,match,105597000.0,105597000,match,1,0000950170-25-025702
logistics,LSTR,2025-12-31,4743760000.0,4743760000,match,115007000.0,115007000,match,9880000.0,9880000,match,215002000.0,215002000,match,1,0001193125-26-064756
logistics,LSTR,2024-12-31,4819245000.0,4819245000,match,195946000.0,195946000,match,30998000.0,30998000,match,255563000.0,255563000,match,1,0001193125-26-064756
logistics,LSTR,2023-12-31,5303322000.0,5303322000,match,264394000.0,264394000,match,25688000.0,25688000,match,367960000.0,367960000,match,1,0001193125-26-064756
logistics,LSTR,2022-12-31,7436562000.0,7436562000,match,430914000.0,430914000,match,26005000.0,26005000,match,596654000.0,596654000,match,1,0001193125-25-033543
logistics,HUBG,2024-12-31,3946390000.0,3946390000,match,104043000.0,103993000,match,50847000.0,50847000,match,143572000.0,143572000,match,1,0000950170-25-026866
logistics,HUBG,2023-12-31,4202585000.0,4202585000,match,167528000.0,167528000,match,140068000.0,140068000,match,282090000.0,282090000,match,1,0000950170-25-026866
logistics,HUBG,2022-12-31,5340490000.0,5340490000,match,356948000.0,356948000,match,219140000.0,219140000,match,239023000.0,239023000,match,1,0000950170-25-026866
logistics,HUBG,2021-12-31,4232383000.0,4232383000,match,171474000.0,171474000,match,132952000.0,132952000,match,119883000.0,119883000,match,1,0000950170-24-021432
logistics,FWRD,2025-12-31,2495118000.0,2495118000,match,-107796000.0,-107796000,match,29116000.0,29116000,match,15268000.0,,,1,0001628280-26-016793
logistics,FWRD,2024-12-31,2474262000.0,2474262000,match,-816969000.0,-816969000,match,37060000.0,37060000,match,-112462000.0,,,1,0001628280-26-016793
logistics,FWRD,2023-12-31,1370735000.0,1370735000,match,167351000.0,167351000,match,30725000.0,30725000,match,150663000.0,,,1,0001628280-26-016793
logistics,FWRD,2022-12-31,1679634000.0,1679634000,match,193191000.0,193191000,match,39254000.0,39254000,match,219836000.0,,,1,0001628280-25-014482
